"ID","State","StateID","StateText","TimeIn","TimeUserAck","TimePLCAck","MessageID","MessageText","Occur","GroupID","GroupText","Priority","Parameter1","Parameter2","Group","Class","HistoricalID","HasNotes","SortBuffer","TimeInUTC"
"175","0","$358","","2022-03-04 05:57:57","1899-12-30 00:00:00","2022-03-04 05:58:16","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","34","False","","2022-03-04 02:57:57"
"57","0","$362","","2022-03-04 05:58:16","1899-12-30 00:00:00","2022-03-04 05:58:17","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","35","False","","2022-03-04 02:58:16"
"175","4","$356","","2022-03-04 05:58:17","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","36","False","","2022-03-04 02:58:17"
"176","4","$356","","2022-03-04 05:58:26","1899-12-30 00:00:00","1899-12-30 00:00:00","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","37","False","","2022-03-04 02:58:26"
"57","4","$360","","2022-03-04 05:58:26","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","38","False","","2022-03-04 02:58:26"
"175","0","$358","","2022-03-04 05:58:17","1899-12-30 00:00:00","2022-03-04 05:58:26","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","39","False","","2022-03-04 02:58:17"
"176","0","$358","","2022-03-04 05:58:26","1899-12-30 00:00:00","2022-03-04 05:58:28","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","40","False","","2022-03-04 02:58:26"
"57","0","$362","","2022-03-04 05:58:26","1899-12-30 00:00:00","2022-03-04 05:58:29","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","41","False","","2022-03-04 02:58:26"
"58","4","$360","","2022-03-04 05:58:29","1899-12-30 00:00:00","1899-12-30 00:00:00","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","42","False","","2022-03-04 02:58:29"
"171","4","$356","","2022-03-04 05:59:30","1899-12-30 00:00:00","1899-12-30 00:00:00","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","43","False","","2022-03-04 02:59:30"
"171","0","$358","","2022-03-04 05:59:30","1899-12-30 00:00:00","2022-03-04 05:59:43","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","44","False","","2022-03-04 02:59:30"
"171","4","$356","","2022-03-04 06:02:10","1899-12-30 00:00:00","1899-12-30 00:00:00","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","45","False","","2022-03-04 03:02:10"
"171","0","$358","","2022-03-04 06:02:10","1899-12-30 00:00:00","2022-03-04 06:02:14","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","46","False","","2022-03-04 03:02:10"
"58","0","$362","","2022-03-04 05:58:29","1899-12-30 00:00:00","2022-03-04 06:03:13","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","47","False","","2022-03-04 02:58:29"
"175","4","$356","","2022-03-04 06:03:14","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","48","False","","2022-03-04 03:03:14"
"57","4","$360","","2022-03-04 06:03:14","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","49","False","","2022-03-04 03:03:14"
"175","0","$358","","2022-03-04 06:03:14","1899-12-30 00:00:00","2022-03-04 06:03:14","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","50","False","","2022-03-04 03:03:14"
"176","4","$356","","2022-03-04 06:03:17","1899-12-30 00:00:00","1899-12-30 00:00:00","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","51","False","","2022-03-04 03:03:17"
"176","0","$358","","2022-03-04 06:03:17","1899-12-30 00:00:00","2022-03-04 06:03:19","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","52","False","","2022-03-04 03:03:17"
"57","0","$362","","2022-03-04 06:03:14","1899-12-30 00:00:00","2022-03-04 06:03:19","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","53","False","","2022-03-04 03:03:14"
"58","4","$360","","2022-03-04 06:03:19","1899-12-30 00:00:00","1899-12-30 00:00:00","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","54","False","","2022-03-04 03:03:19"
"171","4","$356","","2022-03-04 06:04:58","1899-12-30 00:00:00","1899-12-30 00:00:00","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","55","False","","2022-03-04 03:04:58"
"171","0","$358","","2022-03-04 06:04:58","1899-12-30 00:00:00","2022-03-04 06:04:59","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","56","False","","2022-03-04 03:04:58"
"58","0","$362","","2022-03-04 06:03:19","1899-12-30 00:00:00","2022-03-04 06:05:25","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","57","False","","2022-03-04 03:03:19"
"175","4","$356","","2022-03-04 06:05:25","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","58","False","","2022-03-04 03:05:25"
"57","4","$360","","2022-03-04 06:05:26","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","59","False","","2022-03-04 03:05:26"
"175","0","$358","","2022-03-04 06:05:25","1899-12-30 00:00:00","2022-03-04 06:05:26","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","60","False","","2022-03-04 03:05:25"
"176","4","$356","","2022-03-04 06:05:49","1899-12-30 00:00:00","1899-12-30 00:00:00","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","61","False","","2022-03-04 03:05:49"
"57","0","$362","","2022-03-04 06:05:26","1899-12-30 00:00:00","2022-03-04 06:05:51","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","62","False","","2022-03-04 03:05:26"
"58","4","$360","","2022-03-04 06:05:51","1899-12-30 00:00:00","1899-12-30 00:00:00","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","63","False","","2022-03-04 03:05:51"
"176","0","$358","","2022-03-04 06:05:49","1899-12-30 00:00:00","2022-03-04 06:05:51","$4300","Holding positon","1","$4295","Downstream machine","420","TFS:.VC_MX_710_MW_Wartestellung","30071001","49","5","64","False","","2022-03-04 03:05:49"
"171","4","$356","","2022-03-04 06:06:24","1899-12-30 00:00:00","1899-12-30 00:00:00","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","65","False","","2022-03-04 03:06:24"
"171","0","$358","","2022-03-04 06:06:24","1899-12-30 00:00:00","2022-03-04 06:06:39","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","66","False","","2022-03-04 03:06:24"
"171","4","$356","","2022-03-04 06:09:36","1899-12-30 00:00:00","1899-12-30 00:00:00","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","67","False","","2022-03-04 03:09:36"
"175","4","$356","","2022-03-04 06:10:03","1899-12-30 00:00:00","1899-12-30 00:00:00","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","68","False","","2022-03-04 03:10:03"
"58","0","$362","","2022-03-04 06:05:51","1899-12-30 00:00:00","2022-03-04 06:10:07","$4157","Combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiRun","30000611","24","6","69","False","","2022-03-04 03:05:51"
"173","4","$352","","2022-03-04 06:10:07","1899-12-30 00:00:00","1899-12-30 00:00:00","$4297","Remove tube at discharge","1","$4295","Downstream machine","620","TFS:.VC_MX_710_MS_TubeEntnehmen","30071005","49","4","70","False","","2022-03-04 03:10:07"
"171","0","$358","","2022-03-04 06:09:36","1899-12-30 00:00:00","2022-03-04 06:10:08","$4294","Tube feeding device not ready","1","$4293","Tube infeed","430","TFS:.VC_MX_700_MW_TZnichtBereit","30070003","48","5","71","False","","2022-03-04 03:09:36"
"35","4","$352","","2022-03-04 06:10:13","1899-12-30 00:00:00","1899-12-30 00:00:00","$4130","Guard door 3 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH3","30000202","20","4","72","False","","2022-03-04 03:10:13"
"35","0","$354","","2022-03-04 06:10:13","1899-12-30 00:00:00","2022-03-04 06:10:15","$4130","Guard door 3 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH3","30000202","20","4","73","False","","2022-03-04 03:10:13"
"173","0","$354","","2022-03-04 06:10:07","1899-12-30 00:00:00","2022-03-04 06:10:18","$4297","Remove tube at discharge","1","$4295","Downstream machine","620","TFS:.VC_MX_710_MS_TubeEntnehmen","30071005","49","4","74","False","","2022-03-04 03:10:07"
"34","4","$352","","2022-03-04 06:10:35","1899-12-30 00:00:00","1899-12-30 00:00:00","$4129","Guard door 2 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH2","30000201","20","4","75","False","","2022-03-04 03:10:35"
"33","4","$352","","2022-03-04 06:10:37","1899-12-30 00:00:00","1899-12-30 00:00:00","$4128","Guard door 1 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH1","30000200","20","4","76","False","","2022-03-04 03:10:37"
"33","0","$354","","2022-03-04 06:10:37","1899-12-30 00:00:00","2022-03-04 06:10:49","$4128","Guard door 1 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH1","30000200","20","4","77","False","","2022-03-04 03:10:37"
"34","0","$354","","2022-03-04 06:10:35","1899-12-30 00:00:00","2022-03-04 06:11:10","$4129","Guard door 2 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH2","30000201","20","4","78","False","","2022-03-04 03:10:35"
"34","4","$352","","2022-03-04 06:11:41","1899-12-30 00:00:00","1899-12-30 00:00:00","$4129","Guard door 2 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH2","30000201","20","4","79","False","","2022-03-04 03:11:41"
"34","0","$354","","2022-03-04 06:11:41","1899-12-30 00:00:00","2022-03-04 06:12:20","$4129","Guard door 2 open","1","$4127","Protective covers","650","TFS:.VC_MX_002_MS_SH2","30000201","20","4","80","False","","2022-03-04 03:11:41"
"57","4","$360","","2022-03-04 06:12:23","1899-12-30 00:00:00","1899-12-30 00:00:00","$4156","Ready for combined operation","1","$4148","Operation","310","TFS:.VC_MX_006_MH_KombiBereit","30000610","24","6","81","False","","2022-03-04 03:12:23"
"175","0","$358","","2022-03-04 06:10:03","1899-12-30 00:00:00","2022-03-04 06:12:23","$4299","Downstream machine not ready for operation","1","$4295","Downstream machine","440","TFS:.VC_MX_710_MW_FolgemNichtBereit","30071008","49","5","82","False","","2022-03-04 03:10:03"
